project,fault,runtime
Closure,11700219,86355
Closure,11700220,75212
Closure,11700221,78252
Closure,11700222,74277
Closure,11700224,76825
Closure,11700225,80105
Closure,11700226,75751
Closure,11700227,78923
Closure,11700254,79329
Closure,11800129,81704
Closure,11800130,14271
Closure,11800131,80284
Closure,12000125,64785
Closure,12000126,75043
Closure,12100136,4883
Closure,12100137,5020
Closure,12100138,4888
Closure,12100139,4762
Closure,12100140,4719
Closure,12100141,4710
Closure,12100142,5316
Closure,12100143,4224
Closure,12100144,4311
Closure,12100145,4879
Closure,12100146,4905
Closure,12100147,4246
Closure,12100148,4999
Closure,12100149,5005
Closure,12100150,4870
Closure,12100151,4973
Closure,12100152,4918
Closure,12200049,47069
Closure,12200050,50964
Closure,12300193,38036
Closure,12500644,3158
Closure,12500645,66228
Closure,12500646,76629
Closure,12500647,70102
Closure,12500648,76913
Closure,12700049,3578
Closure,12700050,3377
Closure,12700051,3449
Closure,12700052,3184
Closure,12700053,4382
Closure,12700055,3333
Closure,12700056,3395
Closure,12700057,3370
Closure,12700058,3379
Closure,12700059,3407
Closure,12700060,3200
Closure,12700061,3271
Closure,12700062,3188
Closure,12700063,3385
Closure,12800634,47075
Closure,12800635,39497
Closure,12800636,38066
Closure,12800637,39949
Closure,12800645,39302
Closure,12800646,38227
Closure,12800647,45472
Closure,12800648,43657
Closure,12800649,36904
Closure,12800650,36882
Closure,12800651,38777
Closure,12800652,32878
Closure,12800653,36281
Closure,12800654,38321
Closure,12800655,34718
Closure,12800656,32882
Closure,13000018,5152
Closure,13000019,5151
Closure,13000020,5795
Closure,13000021,6044
Closure,13000022,5453
Closure,13000023,5453
Closure,13000024,6153
Closure,13000025,6892
Closure,13000026,5493
Closure,13000027,8023
Closure,13000028,6624
Closure,13000029,6308
Closure,13000030,6661
Closure,13000031,14052
Closure,13000032,5923
Closure,13000033,5525
Closure,13000034,5875
Closure,13000035,5478
Closure,13000036,6135
Closure,13100059,31289
Closure,13100060,29854
Closure,13100062,30834
Closure,13100063,33016
Closure,13100064,37627
Closure,13100065,30950
Closure,13100066,27475
Closure,13100068,32093
Closure,13100069,61784
Closure,13100070,29739
Closure,13100071,30093
Closure,13100072,30206
Closure,13100078,35379
Closure,13100079,30101
Closure,13200410,4424
Closure,13200411,4102
Closure,13200412,4120
Closure,13200413,4114
Closure,13200414,4161
Closure,13200415,4194
Closure,13200416,4194
Closure,13200417,3643
Closure,13200418,4121
Closure,13200419,4464
Closure,13301153,39870
Lang,1,291
Lang,2,20
Lang,3,59
Lang,4,40
Lang,5,16
Lang,6,314
Lang,7,219
Lang,8,87
Lang,9,253
Lang,10,256
Lang,11,13
Lang,12,12
Lang,13,176
Lang,14,1144
Lang,15,10
Lang,16,217
Lang,17,76
Lang,18,105
Lang,19,30
Lang,20,792
